"county","ass","asshole","bastard","bitch","bitched","bitchy","bloody","bullshit","cock","crap","crappy","cunt","damn","damnit","damned","darn","dick","dickhead","douche","douchebag","dumbass","dyke","fag","faggot","fatass","freaking","friggin","fuck","fucked","fucker","fuckery","fucking","goddamn","gosh","hell","hoe","homo","jackass","motherfucker","motherfucking","nigger","piss","pissed","pissy","pussy","shit","shittiest","shitty","slut","slutty","twat","whore"
"texas,parmer",1607.461,86.89,0,1390.236,28.963,0,0,304.114,0,173.78,43.445,43.445,1013.714,14.482,0,28.963,86.89,28.963,0,0,86.89,0,0,0,0,57.927,0,1868.13,159.298,28.963,0,1144.049,0,275.151,666.155,188.261,0,0,0,28.963,0,57.927,202.743,0,159.298,1824.685,0,72.408,28.963,0,0,57.927
"texas,pecos",1197.575,86.895,18.959,971.647,25.279,9.479,3.16,94.795,7.9,135.873,14.219,39.498,1244.972,14.219,4.74,9.479,142.192,0,17.379,3.16,109.014,4.74,30.018,20.539,15.799,241.727,0,1620.991,180.11,30.018,0,690.422,14.219,183.27,491.353,341.261,1.58,7.9,25.279,3.16,15.799,116.914,186.43,4.74,112.174,2038.089,9.479,86.895,55.297,11.059,6.32,53.717
"texas,polk",1771.86,66.688,7.182,1538.963,7.182,9.234,1.026,191.857,16.416,94.39,11.286,12.312,1101.898,8.208,13.338,25.649,181.598,3.078,13.338,6.156,40.013,1.026,22.571,14.364,5.13,209.299,2.052,2156.601,326.26,19.494,4.104,1045.469,14.364,79,665.858,456.559,13.338,2.052,21.545,17.442,0,108.753,208.273,4.104,184.676,2690.108,5.13,60.533,43.091,8.208,0,40.013
"texas,potter",1504.215,59.348,9.984,1045.518,3.328,8.32,7.765,132.562,21.631,83.752,13.312,7.765,900.754,8.874,15.53,7.21,138.663,1.109,15.53,2.773,23.295,3.883,12.202,17.749,4.437,126.461,3.328,1553.024,207.44,17.194,9.984,582.939,6.656,85.971,540.785,353.313,7.765,6.101,6.656,1.664,11.093,59.348,150.311,3.328,129.234,2268.525,1.664,53.247,26.623,4.437,5.547,23.85
"texas,presidio",1662.012,29.503,19.669,1052.28,29.503,19.669,0,167.185,0,49.172,9.834,9.834,845.757,0,0,0,147.516,9.834,9.834,9.834,59.006,19.669,0,9.834,9.834,68.841,9.834,2910.979,413.044,59.006,9.834,1484.993,78.675,59.006,786.751,206.522,19.669,9.834,39.338,19.669,9.834,98.344,39.338,0,147.516,2468.432,9.834,118.013,9.834,0,9.834,19.669
"texas,rains",553.75,48.575,4.857,432.314,0,4.857,4.857,53.432,24.287,150.581,14.572,0,553.75,14.572,19.43,4.857,77.719,0,34.002,14.572,19.43,0,38.86,24.287,4.857,252.588,0,1039.496,121.436,19.43,0,670.329,14.572,92.292,432.314,189.441,0,0,9.715,0,4.857,102.007,238.015,29.145,63.147,879.2,14.572,48.575,53.432,9.715,0,38.86
"texas,randall",911.236,49.275,8.095,613.474,4.576,6.687,4.576,80.248,13.023,96.438,12.671,14.079,833.1,8.799,15.134,14.079,133.043,2.464,23.23,4.224,19.71,4.224,27.453,14.079,3.52,131.987,5.631,1034.424,117.204,11.615,5.631,455.442,17.246,99.606,465.649,146.417,9.151,4.928,10.911,4.224,2.816,54.555,139.378,4.224,83.768,1327.962,4.576,50.331,29.213,3.52,2.464,30.269
"texas,reagan",1335.645,23.432,0,1359.078,23.432,0,0,164.027,0,164.027,23.432,0,1124.754,23.432,70.297,0,234.324,0,0,0,23.432,0,0,0,0,23.432,0,2647.858,210.891,46.865,0,1405.942,0,70.297,656.106,187.459,46.865,0,23.432,23.432,0,117.162,164.027,23.432,398.35,2507.264,0,70.297,46.865,0,0,0
"texas,real",1077.511,69.517,0,764.685,0,0,34.758,104.275,0,104.275,0,34.758,764.685,34.758,0,0,104.275,0,0,0,34.758,0,69.517,104.275,34.758,69.517,0,764.685,104.275,34.758,0,590.893,0,139.034,486.618,139.034,0,34.758,0,34.758,0,0,0,0,69.517,799.444,0,34.758,34.758,0,34.758,34.758
"texas,red river",1836.096,57.982,15.462,1395.433,0,3.865,0,127.56,3.865,189.408,0,11.596,1352.913,3.865,11.596,11.596,216.466,3.865,7.731,19.327,11.596,0,27.058,34.789,7.731,96.637,3.865,1673.747,332.43,19.327,15.462,568.224,3.865,73.444,796.286,657.129,7.731,0,7.731,3.865,0,100.502,235.793,23.193,255.121,2357.934,0,19.327,69.578,23.193,0,65.713
