county,you,he,she,it,we,they,me,him,her,us,them,mine,yours,his,hers,its,ours,theirs
"texas,austin",21385.81,2427.83,2688.99,13030.68,4101.02,2548.5,12940.63,815.88,1900.12,731.23,1228.32,306.18,145.89,889.73,9.01,605.16,16.21,10.81
"texas,bailey",18777.53,2572.26,1768.43,11832.42,3376.1,2186.43,11382.27,1157.52,1671.97,803.83,1125.37,257.23,64.31,803.83,64.31,321.53,0,0
"texas,bandera",24069.89,2406.99,1768.1,12658.98,4152.8,2132.12,12250.39,1129.2,1344.64,839.48,1144.06,393.74,148.58,846.9,14.86,364.02,0,29.72
"texas,bastrop",20730.83,2572.15,2577.31,12181.48,3508.27,2607.88,12897.27,975.82,1780.54,668.15,1264.04,316.41,117.91,974.23,9.53,899.2,14.29,9.93
"texas,baylor",25528.67,2736.65,2215,13891.9,3491.03,2592.19,14541.95,1187.75,1877.93,770.43,1629.15,361.14,128.41,1163.68,24.08,946.99,16.05,16.05
"texas,bee",25085.44,2486.69,2223.7,13065.62,3309,2434.83,13784.21,1049.5,1739.69,592.66,1221.12,493.88,185.21,847.01,13.58,428.44,14.82,14.82
"texas,bell",20812.39,2739.16,2766.46,12340.93,3480.97,2843.51,12461.07,1029.04,1943.64,665.11,1369.62,336.55,132.07,1032.2,15.18,774.02,11.5,10.79
"texas,bexar",20045.66,2625.41,2290.97,12268.68,3495.62,2563.15,12156.45,1065.25,1768.99,712.35,1233.46,305.96,118.21,1001.12,11.01,879.19,11.8,12.75
"texas,blanco",17850.02,1795.32,1939.77,11150.24,3659.43,1802.2,10166.6,742.89,1733.41,742.89,907.98,275.14,61.91,990.52,6.88,990.52,6.88,6.88
"texas,borden",21184.61,1729.36,432.34,16861.22,2594.03,864.68,7349.76,432.34,1729.36,1729.36,1729.36,432.34,432.34,432.34,0,0,0,0
"texas,bosque",26849.85,2363.05,2615.73,12613.06,4896.89,2692.94,12954.65,933.52,1817.91,853.97,1202.58,301.81,138.04,786.12,9.36,1195.56,9.36,7.02
"texas,bowie",20572.94,2794.2,3020.27,11979.08,3646.18,3084.77,13658.69,928.99,1794.13,631.17,1422.27,327.43,137.55,1010.6,8.23,911.54,11.19,13.49
"texas,brazoria",21568.03,2756.24,2841.51,12304.76,3666.48,2786.84,13064.2,1054.03,1941.56,693.22,1367.58,340.79,125.21,984.06,12.8,804.67,13.38,14.15
"texas,brazos",19169.38,2403.65,1930.99,13023.79,3741.43,2582.7,10501.87,882.68,1479.9,778.77,1189.08,268.9,104.42,972.6,8.07,540.08,17.21,8.36
"texas,brewster",21636.06,2356.32,2643.19,12416.65,4003.11,2934.45,11888.89,746.75,1710.3,663.53,1320.5,339.43,159.86,854.05,10.95,569.37,10.95,15.33
"texas,briscoe",17790.38,1998.19,1675.91,12311.46,1611.45,1804.82,12633.75,773.5,1224.7,644.58,1353.62,515.66,0,515.66,64.46,3287.35,0,0
"texas,brooks",24320.2,2395.22,2171.8,13126.08,4218.74,2365.65,13904.77,906.83,1609.96,860.83,1156.54,371.28,170.85,847.69,9.86,765.55,13.14,23
"texas,brown",24924.76,2241.4,2211.82,13662.66,4191.02,2327.1,12868.93,887.58,1584.39,765.16,1164.06,344.83,146.91,801.88,13.26,591.72,19.38,8.16
"texas,burleson",22544.07,2304.77,2995.08,12787.56,3986.7,2617.32,13781.43,998.36,2070.92,715.04,1448.07,353.02,128.17,787,8.99,627.35,13.49,11.24
"texas,burnet",21334.81,1944.08,1954.7,14118.49,3508.76,2145.93,15202.08,825.59,1510.04,716.32,1116.97,258,122.93,933.34,13.66,611.6,6.07,19.73
